fid,ewz_real_sum,index
"158",100919,"158"
"159",69900,"159"
"160",15887,"160"
"161",264158,"161"
"162",1361394,"162"
"163",195740,"163"
"164",156661,"164"
"165",133552,"165"
"166",110075,"166"
"167",180694,"167"
"168",32684,"168"
"169",31936,"169"
"170",35199,"170"
"171",65608,"171"
"172",280323,"172"
"173",3195,"173"
"174",80159,"174"
"175",470932,"175"
"176",1571714,"176"
"177",195095,"177"
"178",368433,"178"
"179",74579,"179"
"180",3309,"180"
"181",116606,"181"
"182",131845,"182"
"183",120792,"183"
"184",158559,"184"
"185",240982,"185"
"186",237089,"186"
"187",837626,"187"
"188",163604,"188"
"189",97230,"189"
"190",192836,"190"
"191",384037,"191"
"192",324051,"192"
"193",267213,"193"
"194",148376,"194"
"195",260515,"195"
"196",202981,"196"
"197",54230,"197"
"198",181860,"198"
"199",632544,"199"
"200",277975,"200"
"201",112615,"201"
"202",115150,"202"
"203",185471,"203"
"204",96428,"204"
"205",177966,"205"
"206",127583,"206"
"207",138574,"207"
"208",158255,"208"
"209",503953,"209"
"210",179469,"210"
"211",27409,"211"
"212",222899,"212"
"213",185525,"213"
"214",224509,"214"
"215",222388,"215"
"216",136455,"216"
"217",105675,"217"
"218",128296,"218"
"219",58219,"219"
"220",54203,"220"
"221",88569,"221"
"222",263938,"222"
"223",67478,"223"
"224",1550,"224"
"225",165102,"225"
"226",170872,"226"
"227",326984,"227"
"228",98250,"228"
"229",117855,"229"
"230",111089,"230"
"231",278399,"231"
"232",50853,"232"
"233",1650020,"233"
"234",396073,"234"
"235",218522,"235"
"236",104536,"236"
"237",173607,"237"
"238",615565,"238"
"239",561659,"239"
"240",112518,"240"
"241",99348,"241"
"242",322763,"242"
"243",209191,"243"
"244",382572,"244"
"245",792789,"245"
"246",1330583,"246"
"247",710389,"247"
"248",525721,"248"
"249",108708,"249"
"250",79406,"250"
"251",57453,"251"
"252",82516,"252"
"253",73125,"253"
"254",32668,"254"
"255",376360,"255"
"256",189781,"256"
"257",125409,"257"
"258",114858,"258"
"259",218906,"259"
"260",321376,"260"
"261",289674,"261"
"262",103256,"262"
"263",4847,"263"
"264",327988,"264"
"265",247170,"265"
"266",888422,"266"
"267",1003405,"267"
"268",435898,"268"
"269",211210,"269"
"270",861475,"270"
"271",94582,"271"
"272",100133,"272"
"273",181587,"273"
"274",187891,"274"
"275",68065,"275"
"276",107183,"276"
"277",178883,"277"
"278",144846,"278"
"279",177235,"279"
"280",117835,"280"
"281",420692,"281"
"282",152999,"282"
"283",132853,"283"
"284",252573,"284"
"285",309417,"285"
"286",332715,"286"
"287",166206,"287"
"288",220573,"288"
"289",1236935,"289"
"290",424230,"290"
"291",132108,"291"
"292",164797,"292"
"293",631712,"293"
"294",159814,"294"
"295",128474,"295"
"296",92609,"296"
"297",198193,"297"
"298",147272,"298"
"299",14347,"299"
"300",177834,"300"
"301",456026,"301"
"302",286710,"302"
"303",473010,"303"
"304",1362807,"304"
"305",470515,"305"
"306",375148,"306"
"307",127066,"307"
"308",245236,"308"
"309",336314,"309"
"310",58698,"310"
"311",114967,"311"
"312",270687,"312"
"313",163187,"313"
"314",226659,"314"
"315",164222,"315"
"316",131426,"316"
"317",268756,"317"
"318",269253,"318"
"319",309328,"319"
"320",254117,"320"
"321",415024,"321"
"322",247384,"322"
"323",378168,"323"
"324",176111,"324"
"325",82579,"325"
"326",207250,"326"
"327",263933,"327"
"328",325969,"328"
"329",210102,"329"
"330",292823,"330"
"331",274454,"331"
"332",733982,"332"
"333",125356,"333"
"334",514047,"334"
"335",220201,"335"
"336",79500,"336"
"337",5845,"337"
"338",23936,"338"
"339",12915,"339"
"340",445690,"340"
"341",512572,"341"
"342",284566,"342"
"343",237008,"343"
"344",13767,"344"
"345",8468,"345"
