fid,ewz_real_sum,index
"1",27850,"1"
"2",85025,"2"
"3",150380,"3"
"4",711502,"4"
"5",1618674,"5"
"6",1349764,"6"
"7",225267,"7"
"8",22132,"8"
"9",20301,"9"
"10",77084,"10"
"11",254573,"11"
"12",259569,"12"
"13",41224,"13"
"14",93520,"14"
"15",61518,"15"
"16",157571,"16"
"17",965988,"17"
"18",1743498,"18"
"19",2063817,"19"
"20",1038343,"20"
"21",238460,"21"
"22",170007,"22"
"23",104824,"23"
"24",23797,"24"
"25",80995,"25"
"26",6305,"26"
"27",48533,"27"
"28",36023,"28"
"29",31891,"29"
"30",63115,"30"
"31",25524,"31"
"32",15319,"32"
"33",32360,"33"
"34",757688,"34"
"35",108268,"35"
"36",57612,"36"
"37",41694,"37"
"38",1254323,"38"
"39",774592,"39"
"40",123896,"40"
"41",38240,"41"
"42",49273,"42"
"43",53198,"43"
"44",39702,"44"
"45",30802,"45"
"46",15507,"46"
"47",71940,"47"
"48",215859,"48"
"49",124897,"49"
"50",107936,"50"
"51",50186,"51"
"52",101244,"52"
"53",218,"53"
"54",3436,"54"
"55",137929,"55"
"56",79632,"56"
"57",117342,"57"
"58",57531,"58"
"59",84365,"59"
"60",13114,"60"
"61",83373,"61"
"62",229805,"62"
"63",291677,"63"
"64",453641,"64"
"65",473450,"65"
"66",147886,"66"
"67",36768,"67"
"68",79581,"68"
"69",149420,"69"
"70",208679,"70"
"71",221018,"71"
"72",140611,"72"
"73",333257,"73"
"74",107540,"74"
"75",126052,"75"
"76",52272,"76"
"77",38442,"77"
"78",47665,"78"
"79",30465,"79"
"80",43987,"80"
"81",1523,"81"
"82",26660,"82"
"83",433551,"83"
"84",226193,"84"
"85",294861,"85"
"86",64280,"86"
"87",71940,"87"
"88",155112,"88"
"89",48499,"89"
"90",5370,"90"
"91",204561,"91"
"92",198792,"92"
"93",132440,"93"
"94",173808,"94"
"95",99251,"95"
"96",9872,"96"
"97",1499,"97"
"98",126933,"98"
"99",38748,"99"
"100",105030,"100"
"101",37413,"101"
"102",103073,"102"
"103",73284,"103"
"104",2901,"104"
"105",75589,"105"
"106",319486,"106"
"107",167461,"107"
"108",76207,"108"
"109",36950,"109"
"110",130064,"110"
"111",2447919,"111"
"112",22075,"112"
"113",124317,"113"
"114",173385,"114"
"115",67885,"115"
"116",138,"116"
"117",58515,"117"
"118",224396,"118"
"119",544172,"119"
"120",243099,"120"
"121",119065,"121"
"122",401374,"122"
"123",514426,"123"
"124",240765,"124"
"125",45474,"125"
"126",40113,"126"
"127",125263,"127"
"128",130368,"128"
"129",6308,"129"
"130",12217,"130"
"131",169824,"131"
"132",123152,"132"
"133",208911,"133"
"134",106988,"134"
"135",115232,"135"
"136",126190,"136"
"137",123709,"137"
"138",43724,"138"
"139",12170,"139"
"140",133757,"140"
"141",1100952,"141"
"142",274552,"142"
"143",332671,"143"
"144",135953,"144"
"145",617843,"145"
"146",119293,"146"
"147",51436,"147"
"148",46785,"148"
"149",38267,"149"
"150",60770,"150"
"151",16185,"151"
"152",154924,"152"
"153",95357,"153"
"154",228181,"154"
"155",275353,"155"
"156",157631,"156"
"157",297539,"157"
