fid,index,ewz_real_sum
"1","1",21531
"2","2",12154
"3","3",45
"4","4",12552
"5","5",3994
"6","6",5132
"7","7",11432
"8","8",12003
"9","9",7760
"10","10",5296
"11","11",4845
"12","12",7118
"13","13",12755
"14","14",44210
"15","15",217488
"16","16",757996
"17","17",12846
"18","18",11941
"19","19",2992
"20","20",19031
"21","21",14308
"22","22",7693
"23","23",71676
"24","24",13925
"25","25",73613
"26","26",10930
"27","27",9444
"28","28",8485
"29","29",23519
"30","30",24426
"31","31",23411
"32","32",313473
"33","33",5888
"34","34",18442
"35","35",9159
"36","36",16944
"37","37",13044
"38","38",30124
"39","39",17822
"40","40",8170
"41","41",5729
"42","42",10274
"43","43",13755
"44","44",13390
"45","45",6505
"46","46",8570
"47","47",22494
"48","48",21495
"49","49",47193
"50","50",34207
"51","51",42299
"52","52",26137
"53","53",718
"54","54",1029
"55","55",12570
"56","56",25341
"57","57",10820
"58","58",37535
"59","59",16149
"60","60",131923
"61","61",308584
"62","62",18161
"63","63",3314
"64","64",2621
"65","65",56489
"66","66",21367
"67","67",21759
"68","68",63147
"69","69",26853
"70","70",3557
"71","71",7750
"72","72",125
"73","73",6803
"74","74",12129
"75","75",32117
"76","76",13107
"77","77",4787
"78","78",58864
"79","79",40
"80","80",703
"81","81",3112
"82","82",4323
"83","83",13821
"84","84",3240
"85","85",3452
"86","86",6107
"87","87",4789
"88","88",12438
"89","89",36647
"90","90",26023
"91","91",18704
"92","92",25912
"93","93",21172
"94","94",19202
"95","95",15013
"96","96",43897
"97","97",28858
"98","98",1484
"99","99",15466
"100","100",36876
"101","101",18576
"102","102",27588
"103","103",35166
"104","104",20969
"105","105",56725
"106","106",30276
"107","107",135185
"108","108",59656
"109","109",190600
"110","110",89714
"111","111",34038
"112","112",35249
"113","113",26597
"114","114",39291
"115","115",18543
"116","116",32589
"117","117",90749
"118","118",44120
"119","119",42600
"120","120",27821
"121","121",2535
"122","122",11783
"123","123",6938
"124","124",2986
"125","125",24257
"126","126",47536
"127","127",112339
"128","128",361646
"129","129",66849
"130","130",48289
"131","131",41012
"132","132",12060
"133","133",13409
"134","134",17936
"135","135",32727
"136","136",28719
"137","137",46285
"138","138",43044
"139","139",39945
"140","140",59927
"141","141",77292
"142","142",36314
"143","143",9426
"144","144",7916
"145","145",14792
"146","146",108122
"147","147",41724
"148","148",21375
"149","149",30371
"150","150",32101
"151","151",22140
"152","152",35597
"153","153",104834
"154","154",25068
"155","155",10720
"156","156",12826
"157","157",11199
"158","158",5788
"159","159",1336
"160","160",34145
"161","161",71827
"162","162",64158
"163","163",60915
"164","164",60979
"165","165",36293
"166","166",36390
"167","167",1248
"168","168",9479
"169","169",10674
"170","170",22612
"171","171",23997
"172","172",21715
"173","173",30294
"174","174",21530
"175","175",27217
"176","176",34615
"177","177",30244
"178","178",57323
"179","179",13760
"180","180",9993
"181","181",6966
"182","182",8548
"183","183",10734
"184","184",9034
"185","185",11472
"186","186",16238
"187","187",35582
"188","188",19841
"189","189",49825
"190","190",30530
"191","191",18864
"192","192",11120
"193","193",15035
"194","194",12711
"195","195",17019
"196","196",7935
"197","197",13302
"198","198",17548
"199","199",18496
"200","200",29423
"201","201",59047
"202","202",139444
"203","203",563430
"204","204",146476
"205","205",33446
"206","206",30613
"207","207",40419
"208","208",19787
"209","209",33678
"210","210",153063
"211","211",42295
"212","212",33327
"213","213",29095
"214","214",68789
"215","215",54862
"216","216",16606
"217","217",134114
"218","218",79237
"219","219",37431
"220","220",38997
"221","221",43150
"222","222",20606
"223","223",16608
"224","224",46971
"225","225",15148
"226","226",18310
"227","227",6640
"228","228",6286
"229","229",7083
"230","230",8269
"231","231",15032
"232","232",20379
"233","233",25592
"234","234",50014
"235","235",23615
"236","236",29075
"237","237",102892
"238","238",58383
"239","239",70850
"240","240",88697
"241","241",75010
"242","242",31712
"243","243",15504
"244","244",24815
"245","245",35421
"246","246",103520
"247","247",30463
"248","248",20713
"249","249",25191
"250","250",91532
"251","251",88681
"252","252",44256
"253","253",20259
"254","254",94332
"255","255",87915
"256","256",21628
"257","257",31242
"258","258",74800
"259","259",37580
"260","260",38047
"261","261",29518
"262","262",49908
"263","263",35922
"264","264",3048
"265","265",28890
"266","266",18970
"267","267",38877
"268","268",82281
"269","269",421715
"270","270",86429
"271","271",44699
"272","272",14537
"273","273",5811
"274","274",49694
