fid,ewz_real_sum,index
"361",57434,"361"
"362",120000,"362"
"363",584846,"363"
"364",247474,"364"
"365",192696,"365"
"366",213934,"366"
"367",38872,"367"
"368",41254,"368"
"369",73819,"369"
"370",57486,"370"
"371",88492,"371"
"372",108090,"372"
"373",170753,"373"
"374",140213,"374"
"375",137650,"375"
"376",36591,"376"
"377",3838,"377"
"378",28402,"378"
"379",19629,"379"
"380",33759,"380"
"381",35992,"381"
"382",19650,"382"
"383",41965,"383"
"384",35657,"384"
"385",126495,"385"
"386",33502,"386"
"387",70601,"387"
"388",56857,"388"
"389",123613,"389"
"390",133029,"390"
"391",359873,"391"
"392",77531,"392"
"393",4739,"393"
"394",75629,"394"
"395",103536,"395"
"396",89667,"396"
"397",92695,"397"
"398",118997,"398"
"399",136751,"399"
"400",3461,"400"
"401",3841,"401"
"402",61850,"402"
"403",50722,"403"
"404",28995,"404"
"405",78853,"405"
"406",41643,"406"
"407",25073,"407"
"408",92746,"408"
"409",1610230,"409"
"410",194061,"410"
"411",46783,"411"
"412",30635,"412"
"413",68650,"413"
"414",103499,"414"
"415",252068,"415"
"416",95079,"416"
"417",45389,"417"
"418",119749,"418"
"419",108604,"419"
"420",44133,"420"
"421",16727,"421"
"422",20165,"422"
"423",25429,"423"
"424",24028,"424"
"425",88413,"425"
"426",23384,"426"
"427",24789,"427"
"428",19408,"428"
"429",34155,"429"
"430",786769,"430"
"431",1819732,"431"
"432",52017,"432"
"433",21021,"433"
"434",59927,"434"
"435",113559,"435"
"436",353091,"436"
"437",43356,"437"
"438",21011,"438"
"439",150902,"439"
"440",28219,"440"
"441",19562,"441"
"442",19108,"442"
"443",41321,"443"
"444",32097,"444"
"445",22653,"445"
"446",71991,"446"
"447",143623,"447"
"448",67778,"448"
"449",35935,"449"
"450",43584,"450"
"451",93404,"451"
"452",443565,"452"
"453",154589,"453"
"454",5433,"454"
"455",8972,"455"
"456",8547,"456"
"457",6842,"457"
"458",11140,"458"
"459",28939,"459"
"460",16839,"460"
"461",23805,"461"
"462",66065,"462"
"463",25333,"463"
"464",123531,"464"
"465",64461,"465"
"466",101666,"466"
"467",84922,"467"
"468",6990,"468"
"469",56810,"469"
"470",30830,"470"
"471",32122,"471"
"472",45423,"472"
"473",82348,"473"
"474",66124,"474"
"475",33284,"475"
"476",41726,"476"
