index,area,time,profit,distance,shape,profit_lo,profit_up,profit_be,time_be
56.0,46.0,8000.0,31025.799031589326,26.2,Polygon(109 Points),30866.138002754975,31025.718057454673,31025.718057454673,150.00138682151376
57.0,46.0,8000.0,15692.945099102952,73.4,Polygon(150 Points),15612.188056958355,15692.904142135229,15692.904142135229,71.11788819246144
58.0,46.0,8000.0,18117.96794891914,46.9,Polygon(121 Points),18024.73156199589,18117.920662891956,18117.920662891956,85.10103277813027
59.0,46.0,8000.0,18229.564784662114,49.7,Polygon(146 Points),18135.754112267878,18229.5172073787,18229.5172073787,85.2966484054008
60.0,46.0,8000.0,11201.300870724432,62.7,Polygon(162 Points),11143.658157978109,11201.271636484755,11201.271636484755,51.493812966274135
61.0,46.0,8000.0,81065.64803260699,10.6,Polygon(151 Points),80648.47828446186,81065.43645962887,81065.43645962887,400.78392786303664
62.0,46.0,8000.0,6890.513973056524,62.5,Polygon(123 Points),6855.054884669611,6890.495989525922,6890.495989525922,31.685106575021692
63.0,46.0,8000.0,10150.570618500164,49.2,Polygon(191 Points),10098.335040407383,10150.544126558045,10150.544126558045,47.527372940796134
64.0,46.0,8000.0,47907.53299822543,55.2,Polygon(307 Points),47660.997332870786,47907.40796450677,47907.40796450677,222.4837630599143
65.0,46.0,8000.0,40947.09075331088,25.7,Polygon(119 Points),40736.37403233969,40946.98388562837,40946.98388562837,198.1084253744512
66.0,46.0,8000.0,26561.212225793694,82.2,Polygon(288 Points),26424.52628688394,26561.142903770007,26561.142903770007,118.9813685421568
67.0,46.0,8000.0,24438.92457020325,55.3,Polygon(186 Points),24313.16007864218,24438.860787131394,24438.860787131394,113.47953236795585
68.0,46.0,8000.0,11017.989778803625,62.9,Polygon(47 Points),10961.29039833065,11017.961022986987,11017.961022986987,50.637472377482304
69.0,46.0,8000.0,7901.295697787697,146.7,Polygon(46 Points),7860.635052788713,7901.275076221073,7901.275076221073,32.632503252998696
70.0,46.0,8000.0,6532.093101784079,110.9,Polygon(46 Points),6498.478473390117,6532.076053694975,6532.076053694975,28.198811410327366
71.0,46.0,8000.0,10144.987723824488,128.0,Polygon(167 Points),10092.78087571564,10144.961246453147,10144.961246453147,42.8686865646551
72.0,46.0,8000.0,4419.084545374599,163.5,Polygon(153 Points),4396.3436134069125,4419.073012019837,4419.073012019837,17.887400709643703
73.0,46.0,8000.0,10376.257671799322,78.2,Polygon(160 Points),10322.860691639584,10376.230590837278,10376.230590837278,46.725825243076436
74.0,46.0,8000.0,9860.31106346775,65.9,Polygon(209 Points),9809.569182254083,9860.285329073124,9860.285329073124,45.13464398769068
75.0,46.0,8000.0,21799.69200522715,142.2,Polygon(279 Points),21687.509197290994,21799.63511028001,21799.63511028001,90.52590970856839
