area,hours,profit,nr_kge,agents,agent_profit
2.0,10821.0,841745.0,25,6.76,124518
5.0,6652.0,520979.0,36,4.16,125235
78.0,3444.0,274107.0,40,2.15,127491
81.0,4082.0,324916.0,30,2.55,127418
153.0,1977.0,156143.0,41,1.24,125921
163.0,6209.0,486072.0,43,3.88,125276
177.0,7352.0,590782.0,59,4.6,128430
254.0,5228.0,413299.0,92,3.27,126391
337.0,3455.0,279796.0,62,2.16,129535
369.0,3075.0,246213.0,63,1.92,128235
489.0,5998.0,471371.0,65,3.75,125698
514.0,4002.0,328782.0,69,2.5,131512
648.0,7985.0,614814.0,100,4.99,123209
