index,area1,area2,time1,time2,distance
1.0,4.0,0.0,5.7575591996424,0.0,101.1
2.0,4.0,0.0,52.72964860958396,0.0,76.27
3.0,4.0,0.0,291.1428917510945,0.0,38.0
4.0,4.0,0.0,11707.993856926209,0.0,0.0
5.0,4.0,0.0,13884.081073432842,0.0,37.73
6.0,4.0,0.0,4899.308520025376,0.0,75.18
7.0,4.0,0.0,146.60044676375625,0.0,112.36
8.0,4.0,0.0,3.0767720778373935,0.0,149.26
9.0,4.0,0.0,2.016976619445325,0.0,185.9
10.0,4.0,0.0,9.580861381743645,0.0,192.75
11.0,4.0,0.0,106.77986565083522,0.0,153.65
12.0,4.0,0.0,173.93773566535995,0.0,114.82
13.0,188.0,0.0,4.416993927568322,0.0,191.94
14.0,188.0,0.0,12.651626964314072,0.0,201.19
15.0,188.0,0.0,5.925049044136108,0.0,215.96
16.0,4.0,0.0,164.46026080724806,0.0,65.96
17.0,4.0,0.0,5872.610513809022,0.0,37.97
18.0,4.0,0.0,15749.487411503393,0.0,37.84
19.0,4.0,0.0,11877.077426335409,0.0,65.25
20.0,4.0,0.0,2178.631827017855,0.0,99.28
21.0,4.0,0.0,117.4866687897468,0.0,134.8
22.0,4.0,0.0,47.454092084858345,0.0,170.7
23.0,188.0,0.0,16.947878461571634,0.0,189.2
24.0,108.0,0.0,3.030792171683798,0.0,150.52
25.0,108.0,0.0,22.79383156760604,0.0,135.21
26.0,108.0,0.0,0.6294106772424002,0.0,129.45
27.0,108.0,0.0,5.774193275296279,0.0,168.21
28.0,108.0,0.0,2.674191701962262,0.0,203.62
29.0,108.0,0.0,1.799597894553795,0.0,238.92
30.0,108.0,0.0,2.9860648310321736,0.0,274.06
31.0,188.0,0.0,0.460516697478124,0.0,305.18
32.0,188.0,0.0,0.15413633554055278,0.0,326.11
33.0,108.0,0.0,9.496497327698094,0.0,99.65
34.0,108.0,0.0,2245.620663037845,0.0,65.01
35.0,108.0,0.0,158.05835786234258,0.0,37.42
36.0,108.0,0.0,57.7317644386725,0.0,37.29
37.0,108.0,0.0,24.38954432689004,0.0,64.3
38.0,108.0,0.0,3063.348429832994,0.0,97.84
39.0,108.0,0.0,858.6149748957849,0.0,132.84
40.0,214.0,0.0,12.379532090778484,0.0,242.04
41.0,214.0,0.0,1.6272565702121133,0.0,247.6
42.0,108.0,0.0,6.325951290571123,0.0,160.32
43.0,108.0,0.0,5.85674735196701,0.0,193.89
44.0,108.0,0.0,2.037898157822023,0.0,227.98
45.0,108.0,0.0,1.3644369907928529,0.0,262.27
46.0,108.0,0.0,0.26924426204773055,0.0,296.59
47.0,108.0,0.0,30.210767678458886,0.0,99.51
48.0,108.0,0.0,238.96688385675915,0.0,74.99
49.0,108.0,0.0,118.96702669311009,0.0,64.73
50.0,108.0,0.0,75.9713106902801,0.0,74.44
51.0,108.0,0.0,19.100145754419955,0.0,98.07
52.0,108.0,0.0,34.92850940141556,0.0,127.9
53.0,214.0,0.0,0.11060082556608473,0.0,278.04
54.0,108.0,0.0,0.21504444420773178,0.0,222.49
55.0,108.0,0.0,63.81301671850164,0.0,112.68
56.0,108.0,0.0,30.413273488945375,0.0,99.05
57.0,108.0,0.0,60.10179345344331,0.0,98.68
58.0,108.0,0.0,15.809050122337034,0.0,111.45
59.0,108.0,0.0,23.313157004905538,0.0,133.41
60.0,108.0,0.0,1.3682693304161235,0.0,160.66
61.0,108.0,0.0,15.943961847519954,0.0,165.08
62.0,108.0,0.0,115.19177144526226,0.0,130.73
63.0,108.0,0.0,273.45164525942744,0.0,99.51
64.0,108.0,0.0,817.0142633814619,0.0,74.99
65.0,108.0,0.0,1049.3565619599583,0.0,64.73
66.0,108.0,0.0,127.39349199706629,0.0,74.44
67.0,108.0,0.0,9.717426168857367,0.0,98.07
68.0,108.0,0.0,20.54355292615177,0.0,127.9
69.0,214.0,0.0,39.392787537789076,0.0,160.5
70.0,214.0,0.0,83.74745741374079,0.0,144.22
71.0,214.0,0.0,105.05701637750805,0.0,138.09
72.0,214.0,0.0,48.39007341758345,0.0,143.21
73.0,214.0,0.0,158.14063802480263,0.0,158.27
74.0,214.0,0.0,18.658356320509576,0.0,180.63
75.0,108.0,0.0,19.608207871524847,0.0,201.11
76.0,108.0,0.0,7.8245624300779415,0.0,168.21
77.0,188.0,0.0,2.7473439288417008,0.0,201.19
78.0,188.0,0.0,3.381779003553578,0.0,215.96
79.0,188.0,0.0,1.8797544055345867,0.0,235.11
80.0,188.0,0.0,2.096865724121108,0.0,257.54
81.0,188.0,0.0,0.10427869420502232,0.0,282.38
82.0,108.0,0.0,3.6043492998993942,0.0,136.28
83.0,108.0,0.0,516.6755680610964,0.0,99.65
84.0,108.0,0.0,306.33277752948175,0.0,65.01
85.0,108.0,0.0,841.4566522543541,0.0,37.42
86.0,108.0,0.0,74.64364068570367,0.0,37.29
87.0,108.0,0.0,53.383083711215434,0.0,64.3
88.0,108.0,0.0,98.27554467140394,0.0,97.84
89.0,108.0,0.0,8.815713371790665,0.0,132.84
