index,area,time,profit,distance,shape
1.0,11.0,2.954505202730877,160.00196788019133,82.07,Polygon(7 Points)
2.0,11.0,107.73847048983968,5607.060154320348,53.91,Polygon(7 Points)
3.0,11.0,45.77179238690062,2304.358001822319,31.26,Polygon(7 Points)
4.0,11.0,285.49867828063077,14375.429448786319,31.36,Polygon(7 Points)
5.0,11.0,816.2673000144766,42511.81318522894,54.41,Polygon(7 Points)
6.0,27.0,55.23928570650672,2914.0656585182014,63.38,Polygon(7 Points)
7.0,27.0,0.9220552905427142,50.069676900873084,84.03,Polygon(7 Points)
8.0,32.0,2.9064078390122923,158.15581556965265,85.55,Polygon(7 Points)
9.0,11.0,103.74932464967667,5463.335686727323,62.12,Polygon(7 Points)
10.0,11.0,669.5197823229952,33701.11514295585,31.15,Polygon(7 Points)
11.0,11.0,2721.429467772927,130628.6144531005,0.0,Polygon(7 Points)
12.0,11.0,549.7142517731617,27678.387433904572,31.34,Polygon(7 Points)
13.0,27.0,285.13826373760946,14363.269759254597,31.64,Polygon(7 Points)
14.0,27.0,27.041513991430918,1409.3361054484008,54.9,Polygon(7 Points)
15.0,32.0,13.396778223710369,728.8014813426234,85.35,Polygon(7 Points)
16.0,32.0,106.68189774082805,5569.275130611058,56.06,Polygon(7 Points)
17.0,32.0,73.51560101750727,3707.9982630212853,32.51,Polygon(7 Points)
18.0,32.0,37.38505603251621,1885.9171903523043,32.61,Polygon(7 Points)
19.0,98.0,5.125767600757683,287.61322728801446,108.15,Polygon(7 Points)
20.0,98.0,0.8186842513727104,45.979149596656995,108.83,Polygon(7 Points)
21.0,42.0,20.76875087701428,1169.5039384478318,110.81,Polygon(7 Points)
22.0,42.0,29.849692820542266,1615.3982136389016,81.57,Polygon(7 Points)
23.0,42.0,96.89749558028747,5040.462373843183,53.58,Polygon(7 Points)
24.0,42.0,550.3841509071134,27700.97191119273,31.07,Polygon(7 Points)
25.0,25.0,7473.650898385301,358735.24312249443,0.0,Polygon(7 Points)
26.0,26.0,5789.485094320451,277895.2845273816,0.0,Polygon(7 Points)
27.0,27.0,4685.591569109808,224908.39531727074,0.0,Polygon(7 Points)
28.0,27.0,358.9811500770297,18082.688236967657,31.63,Polygon(7 Points)
29.0,27.0,20.10814293639165,1060.880486145353,63.45,Polygon(7 Points)
30.0,32.0,46.86327698636968,2476.454724886966,64.59,Polygon(7 Points)
31.0,32.0,73.55543207375005,3709.3452729051605,32.39,Polygon(7 Points)
32.0,32.0,459.0587408265203,22034.81955967297,0.0,Polygon(7 Points)
33.0,32.0,249.75079913363322,12598.304436097427,32.58,Polygon(7 Points)
34.0,98.0,2.615430298505881,146.6373689736053,107.55,Polygon(7 Points)
35.0,98.0,72.96028828682803,3993.5360995957467,89.81,Polygon(7 Points)
36.0,98.0,51.246991240939664,2765.4157648392065,79.5,Polygon(7 Points)
37.0,98.0,24.099110279397006,1300.9000967696998,79.75,Polygon(7 Points)
38.0,98.0,48.615281968167,2664.0931442145666,90.66,Polygon(7 Points)
39.0,42.0,80.87553614776454,4442.068604031929,92.33,Polygon(7 Points)
40.0,42.0,114.98145708299602,6051.531577006623,61.74,Polygon(7 Points)
41.0,42.0,159.23458487170095,8013.002779913735,30.96,Polygon(7 Points)
42.0,42.0,5043.163269227758,242071.83692293242,0.0,Polygon(7 Points)
43.0,43.0,2489.3197331958218,119487.34719339942,0.0,Polygon(7 Points)
44.0,43.0,644.3544098991613,32443.566715627727,31.34,Polygon(7 Points)
45.0,27.0,1170.4426612595603,58958.708175627806,31.64,Polygon(7 Points)
46.0,27.0,288.9776574608893,15060.793062717892,54.9,Polygon(7 Points)
47.0,27.0,42.787920990959,2323.6408373350196,84.08,Polygon(7 Points)
48.0,32.0,40.891051392315006,2134.6968924101084,56.06,Polygon(7 Points)
49.0,32.0,84.00717024214707,4237.1746544659745,32.51,Polygon(7 Points)
50.0,32.0,416.8817846144679,21029.914286215295,32.61,Polygon(7 Points)
51.0,98.0,30.20938958738631,1629.0866475841874,79.02,Polygon(7 Points)
52.0,98.0,47.87264175144267,2513.2059785067995,59.97,Polygon(7 Points)
53.0,98.0,58.16966785068375,3019.5729157120304,52.13,Polygon(7 Points)
54.0,98.0,26.372887600024654,1385.2688873007949,60.35,Polygon(7 Points)
55.0,98.0,24.069709609189594,1299.7823711784451,80.01,Polygon(7 Points)
56.0,102.0,176.91768663490456,9307.816411548964,61.48,Polygon(7 Points)
57.0,102.0,539.3296670503,28049.457323952003,53.44,Polygon(7 Points)
58.0,42.0,573.5074029934557,28864.770969511366,31.07,Polygon(7 Points)
59.0,43.0,1397.5171205900508,70357.30067754582,31.26,Polygon(7 Points)
60.0,43.0,303.3387415229028,15273.712313161197,31.36,Polygon(7 Points)
61.0,43.0,155.91675658396895,8120.261620460541,54.41,Polygon(7 Points)
62.0,27.0,125.52043067654627,6621.642039695183,63.38,Polygon(7 Points)
63.0,109.0,276.9357716571055,14625.32427092631,64.15,Polygon(7 Points)
64.0,109.0,57.21056531590731,2985.3617193146747,55.76,Polygon(7 Points)
65.0,109.0,54.94407039868257,2903.2721519015868,64.54,Polygon(7 Points)
66.0,111.0,181.07475284533197,9457.941759305593,56.43,Polygon(7 Points)
67.0,111.0,54.74880650586476,2896.1160537488604,65.31,Polygon(7 Points)
68.0,92.0,26.71346693287461,1397.5684495272008,57.56,Polygon(7 Points)
69.0,92.0,106.21607363851685,5364.283475002832,33.38,Polygon(7 Points)
70.0,92.0,567.3030238808129,28655.04303924373,33.48,Polygon(7 Points)
71.0,92.0,207.77242049341888,10877.821188722697,58.06,Polygon(7 Points)
72.0,98.0,2.9996823940288166,161.7218769092756,78.84,Polygon(7 Points)
73.0,98.0,97.69434669983866,5068.7979077611035,51.79,Polygon(7 Points)
74.0,98.0,252.64025785352473,12695.741397719788,30.03,Polygon(7 Points)
75.0,98.0,74.30912944828252,3734.7582687883173,30.13,Polygon(7 Points)
76.0,98.0,76.79207664216908,3987.1214113380597,52.28,Polygon(7 Points)
77.0,102.0,212.56252076884982,11049.371813976155,53.09,Polygon(7 Points)
78.0,102.0,251.77602829837866,12666.663151670205,30.79,Polygon(7 Points)
79.0,102.0,203.3804606239052,10233.291256752416,30.88,Polygon(7 Points)
80.0,102.0,197.563561814452,10276.960140245072,53.58,Polygon(7 Points)
81.0,43.0,96.59176925160882,5029.557572873586,54.27,Polygon(7 Points)
82.0,43.0,175.8358234802975,9268.438132514091,62.81,Polygon(7 Points)
83.0,43.0,159.8396530007325,8670.541936937985,83.27,Polygon(7 Points)
84.0,135.0,161.85611105735816,8545.51709549534,63.96,Polygon(7 Points)
85.0,109.0,417.8048068665145,21061.122509334124,32.12,Polygon(7 Points)
86.0,109.0,547.5358429691368,27604.840827053486,32.22,Polygon(7 Points)
87.0,111.0,172.23738696515596,8687.352383095276,32.51,Polygon(7 Points)
88.0,111.0,217.31737522047922,10962.737981028487,32.61,Polygon(7 Points)
89.0,111.0,117.75405019373508,6151.707090221108,56.56,Polygon(7 Points)
90.0,92.0,173.00614407910453,9164.827476446482,66.32,Polygon(7 Points)
91.0,92.0,171.65514516313695,8667.640727440015,33.26,Polygon(7 Points)
92.0,92.0,151.97071156066227,7294.594154911789,0.0,Polygon(7 Points)
93.0,92.0,37.24352900191181,1881.1240954753134,33.45,Polygon(7 Points)
94.0,92.0,19.772444953614798,1048.5673576688619,67.09,Polygon(7 Points)
95.0,98.0,9.067817859518797,495.939361327267,89.23,Polygon(7 Points)
96.0,98.0,104.92694082580587,5506.067451569367,59.67,Polygon(7 Points)
97.0,98.0,46.04712200304418,2313.6261332624535,29.93,Polygon(7 Points)
98.0,98.0,391.63405783607834,18798.43477613176,0.0,Polygon(7 Points)
99.0,98.0,54.839439626085145,2756.175396167413,30.12,Polygon(7 Points)
100.0,98.0,32.93600670823309,1730.1778363935464,60.42,Polygon(7 Points)
101.0,102.0,219.21798887903378,11026.884058604279,30.68,Polygon(7 Points)
102.0,102.0,1278.0899493631532,61348.317569431325,0.0,Polygon(7 Points)
