index,area,time,profit,distance,shape,profit_lo,profit_up,profit_be,time_be
1.0,2.0,156.18985674036068,12114.449731781437,24.82,Polygon(7 Points),12089.711225884676,12112.263808223412,12112.263808223412,161.66032672507527
2.0,2.0,2261.804819693604,168881.4265371224,0.0,Polygon(7 Points),168536.55951808798,168850.95368057885,168850.95368057885,2341.023378668179
3.0,2.0,1238.5098762151467,96079.05499389162,24.94,Polygon(7 Points),95882.85522244958,96061.71855068587,96061.71855068587,1281.888052269628
4.0,5.0,1441.8687019459067,111895.25936871074,25.18,Polygon(7 Points),111870.64072890216,111275.73143122665,111870.64072890216,1387.2458948367112
5.0,5.0,1565.779181651661,116911.51222999068,0.0,Polygon(7 Points),116885.78993911519,116264.21091938442,116885.78993911519,1506.4622312944425
6.0,5.0,356.9503465495456,27705.890981931465,25.3,Polygon(7 Points),27699.795269257775,27552.492405503537,27699.795269257775,343.42787401038663
7.0,5.0,17.17160736761585,1383.7768416538843,50.73,Polygon(7 Points),1383.4723899386613,1376.115315888765,1383.4723899386613,16.521089469744656
8.0,5.0,16.20802226650197,1354.4206793631924,76.27,Polygon(7 Points),1354.1226864451487,1346.9216891941207,1354.1226864451487,15.594008193868403
9.0,153.0,25.78875103825788,2212.91983221739,95.51,Polygon(7 Points),2199.3491939267456,2117.5874374781615,2199.3491939267456,20.871017532226915
10.0,153.0,40.18577890490407,3405.235742324491,86.32,Polygon(7 Points),3384.353276597229,3258.5384814290883,3384.353276597229,32.5226334081166
11.0,153.0,33.4280657291367,2820.2423354029397,83.15,Polygon(7 Points),2802.947317269651,2698.746539818917,2802.947317269651,27.05356862246774
12.0,153.0,14.905766970428722,1263.8401070666907,86.76,Polygon(7 Points),1256.0896604845273,1209.3939846992926,1256.0896604845273,12.063342009451672
13.0,153.0,23.28839998159849,2000.974259018915,96.47,Polygon(7 Points),1988.7033680888871,1914.772461219181,1988.7033680888871,18.847465842467166
14.0,5.0,108.95285742913411,8456.739205553673,25.3,Polygon(7 Points),8454.878595750975,8409.916969943197,8454.878595750975,104.82535892159626
15.0,5.0,28.943733001175648,2309.3384489203017,43.89,Polygon(7 Points),2308.830359732334,2296.5523872561703,2308.830359732334,27.847247625905617
16.0,5.0,14.220500392858524,1173.2860857467804,67.2,Polygon(7 Points),1173.0279451633419,1166.7899793622705,1173.0279451633419,13.681780293790522
17.0,5.0,13.268206628831207,1132.7797750397785,91.79,Polygon(7 Points),1132.5305464538537,1126.5079390244423,1132.5305464538537,12.765562601401042
18.0,5.0,93.47688485233955,8254.912542348486,116.94,Polygon(7 Points),8253.096337446883,8209.207755833617,8253.096337446883,89.93566792768688
19.0,81.0,31.668242528568086,2783.052655774356,113.27,Polygon(7 Points),2760.7615723291315,2771.289021873268,2771.289021873268,37.23850174843871
20.0,81.0,114.8822029753781,10099.639110174412,113.54,Polygon(7 Points),10018.745240737755,10056.949132038822,10056.949132038822,135.08931266090516
21.0,81.0,7.421555909371364,657.7242601341729,119.63,Polygon(7 Points),652.4561649236207,654.9441375992906,654.9441375992906,8.726964322631686
22.0,153.0,4.624970135984114,404.4528675634547,109.57,Polygon(7 Points),401.9725772739427,387.0290730533135,401.9725772739427,3.7430208485455654
23.0,153.0,3.0523849858943244,265.1250725664712,104.5,Polygon(7 Points),263.4992041508155,253.70350739940088,263.4992041508155,2.4703166299599997
24.0,153.0,2.073037723839717,181.48754259642106,110.4,Polygon(7 Points),180.37457783422,173.66907497768324,180.37457783422,1.6777240051307776
25.0,78.0,8.928949973533097,783.5228009691739,112.15,Polygon(7 Points),782.9079974497379,768.5291021419157,782.9079974497379,8.296353053224713
26.0,78.0,27.183401135494133,2340.998261253908,98.16,Polygon(7 Points),2339.161360058139,2296.2003015251557,2339.161360058139,25.257515573049137
27.0,2.0,51.22197952979464,4267.328725616955,74.09,Polygon(7 Points),4258.614558718799,4266.558731552207,4266.558731552207,53.01600320984197
28.0,2.0,62.44635948290518,5023.36208815676,49.51,Polygon(7 Points),5013.104051234671,5022.455675915833,5022.455675915833,64.63351133985195
29.0,78.0,121.55806620313055,9777.482535693403,49.44,Polygon(7 Points),9769.810479862059,9590.378052904103,9769.810479862059,112.9459384001213
30.0,2.0,715.4532172992723,57022.2176297664,43.15,Polygon(7 Points),56905.774497943465,57011.92857730365,57011.92857730365,740.5116009381619
31.0,2.0,285.6458139207399,22992.155246472536,49.93,Polygon(7 Points),22945.203747994492,22988.00655669167,22988.00655669167,295.6504127079093
32.0,5.0,103.15474312181009,8309.011403718676,50.42,Polygon(7 Points),8307.183296254003,8263.007089268543,8307.183296254003,99.24689656939034
33.0,5.0,62.879459978709065,5016.2403595315045,43.79,Polygon(7 Points),5015.136711215201,4988.467055627497,5015.136711215201,60.49737580633464
34.0,5.0,46.233716056934185,3725.374138719586,50.66,Polygon(7 Points),3724.5545003846746,3704.747944459538,3724.5545003846746,44.48222831695412
35.0,5.0,246.90157150603025,20369.58540055708,67.15,Polygon(7 Points),20365.103785439016,20256.805580376946,20365.103785439016,237.54811449768397
36.0,163.0,27.222510463865003,2248.388806742002,67.94,Polygon(7 Points),2228.375696689165,2248.0751134418338,2248.0751134418338,28.059923815225645
