area,hours,profit,nr_kge,agents,agent_profit,fix_costs
96.0,8000.0,1.05788128e6,47,5.0,211576.26,30000.0
98.0,9600.0,1.21441665e6,34,6.0,202402.77,30000.0
113.0,1600.0,210535.69,37,1.0,210535.69,30000.0
201.0,3200.01,310751.71,40,2.0,155375.85,30000.0
252.0,3200.0,453595.71,55,2.0,226797.85,30000.0
264.0,3200.0,305825.13,67,2.0,152912.56,30000.0
307.0,6400.0,903287.54,53,4.0,225821.89,30000.0
319.0,3200.0,506454.66,32,2.0,253227.33,30000.0
431.0,6400.0,823107.57,63,4.0,205776.89,30000.0
443.0,3200.0,436638.06,57,2.0,218319.03,30000.0
541.0,6400.0,870723.08,131,4.0,217680.77,30000.0
544.0,1600.0,302415.85,72,1.0,302415.85,30000.0
705.0,3200.0,528090.47,97,2.0,264045.24,30000.0
847.0,9600.0,1.24572185e6,119,6.0,207620.31,30000.0
942.0,3200.0,444608.21,67,2.0,222304.11,30000.0
1057.0,11200.0,1.4957079e6,143,7.0,213672.56,30000.0
1081.0,1600.0,295430.3,54,1.0,295430.3,30000.0
