area,hours,profit,nr_kge,agents,agent_profit,fix_costs
96.0,8011.04,1.05788158e6,47,5.01,211154.01,30000.0
98.0,9201.18,1.21475081e6,34,5.75,211261.01,30000.0
113.0,1593.78,210536.17,37,1.0,210536.17,30000.0
201.0,2357.92,315804.48,40,1.47,214832.98,30000.0
252.0,3349.85,453735.46,55,2.09,217098.31,30000.0
264.0,2346.08,310977.64,67,1.47,211549.42,30000.0
307.0,6813.43,903804.6,53,4.26,212160.7,30000.0
319.0,3851.89,508878.02,32,2.41,211152.7,30000.0
431.0,6179.01,823262.4,63,3.86,213280.42,30000.0
443.0,3306.46,436707.23,57,2.07,210969.68,30000.0
541.0,6542.01,870785.4,131,4.09,212905.97,30000.0
544.0,2212.38,306622.79,72,1.38,222190.43,30000.0
705.0,3911.63,531037.27,97,2.44,217638.23,30000.0
847.0,9467.33,1.24575826e6,119,5.92,210432.14,30000.0
942.0,3278.87,444647.34,67,2.05,216901.14,30000.0
1057.0,11646.95,1.49604575e6,143,7.28,205500.79,30000.0
1081.0,2250.41,299957.62,54,1.41,212735.9,30000.0
